,customer_id,shopping_freq,max_amount,customer_category
0,CS1112,15,105,High
1,CS1113,20,98,High
2,CS1114,19,105,High
3,CS1115,22,104,Medium
4,CS1116,13,105,High
5,CS1117,17,100,High
6,CS1118,15,101,High
7,CS1119,15,102,High
8,CS1120,24,105,Medium
9,CS1121,26,104,Medium
10,CS1122,16,104,High
11,CS1123,19,103,High
12,CS1124,18,95,High
13,CS1125,12,104,High
14,CS1126,19,95,High
15,CS1127,24,99,Medium
16,CS1128,26,105,Medium
17,CS1129,12,104,High
18,CS1130,19,97,High
19,CS1131,14,95,High
20,CS1132,16,103,High
21,CS1133,19,105,High
22,CS1134,16,101,High
23,CS1135,20,98,High
24,CS1136,20,105,Medium
25,CS1137,20,100,High
26,CS1138,24,105,Medium
27,CS1139,18,104,High
28,CS1140,20,102,High
29,CS1141,25,105,Medium
30,CS1142,22,104,Medium
31,CS1143,16,99,High
32,CS1144,18,104,High
33,CS1145,27,105,Medium
34,CS1146,16,102,High
35,CS1147,15,95,High
36,CS1148,25,105,Medium
37,CS1149,25,103,Medium
38,CS1150,14,102,High
39,CS1151,16,104,High
40,CS1152,20,105,Medium
41,CS1153,18,104,High
42,CS1154,23,105,Medium
43,CS1155,19,97,High
44,CS1156,20,103,Medium
45,CS1157,21,104,Medium
46,CS1158,18,102,High
47,CS1159,22,104,Medium
48,CS1160,20,98,High
49,CS1161,22,103,Medium
50,CS1162,24,105,Medium
51,CS1163,18,102,High
52,CS1164,26,101,Medium
53,CS1165,20,105,Medium
54,CS1166,19,104,High
55,CS1167,16,100,High
56,CS1168,14,92,High
57,CS1169,18,104,High
58,CS1170,18,95,High
59,CS1171,22,104,Medium
60,CS1172,18,100,High
61,CS1173,21,102,Medium
62,CS1174,23,96,Medium
63,CS1175,17,96,High
64,CS1176,18,103,High
65,CS1177,17,105,High
66,CS1178,22,98,Medium
67,CS1179,29,105,Medium
68,CS1180,23,104,Medium
69,CS1181,27,103,Medium
70,CS1182,24,105,Medium
71,CS1183,26,104,Medium
72,CS1184,28,104,Medium
73,CS1185,27,104,Medium
74,CS1186,19,105,High
75,CS1187,22,105,Medium
76,CS1188,16,105,High
77,CS1189,23,104,Medium
78,CS1190,18,101,High
79,CS1191,21,103,Medium
80,CS1192,18,105,High
81,CS1193,15,96,High
82,CS1194,22,103,Medium
83,CS1195,20,98,High
84,CS1196,23,104,Medium
85,CS1197,17,99,High
86,CS1198,22,100,Medium
87,CS1199,20,103,Medium
88,CS1200,21,103,Medium
89,CS1201,19,105,High
90,CS1202,20,103,Medium
91,CS1203,21,105,Medium
92,CS1204,17,99,High
93,CS1205,17,105,High
94,CS1206,24,101,Medium
95,CS1207,18,104,High
96,CS1208,15,105,High
97,CS1209,27,97,Medium
98,CS1210,21,95,High
99,CS1211,18,104,High
100,CS1212,17,105,High
101,CS1213,18,98,High
102,CS1214,19,105,High
103,CS1215,35,102,Medium
104,CS1216,24,105,Medium
105,CS1217,20,104,Medium
106,CS1218,24,104,Medium
107,CS1219,21,100,Medium
108,CS1220,9,103,High
109,CS1221,19,104,High
110,CS1222,21,104,Medium
111,CS1223,17,105,High
112,CS1224,8,94,High
113,CS1225,17,94,High
114,CS1226,18,100,High
115,CS1227,27,104,Medium
116,CS1228,19,104,High
117,CS1229,19,101,High
118,CS1230,20,105,Medium
119,CS1231,23,105,Medium
120,CS1232,20,103,Medium
121,CS1233,21,104,Medium
122,CS1234,21,100,Medium
123,CS1235,22,103,Medium
124,CS1236,22,105,Medium
125,CS1237,24,104,Medium
126,CS1238,26,103,Medium
127,CS1239,11,103,High
128,CS1240,30,105,Medium
129,CS1241,27,104,Medium
130,CS1242,13,104,High
131,CS1243,17,103,High
132,CS1244,21,105,Medium
133,CS1245,19,101,High
134,CS1246,20,105,Medium
135,CS1247,28,100,Medium
136,CS1248,17,98,High
137,CS1249,23,105,Medium
138,CS1250,24,96,Medium
139,CS1251,14,103,High
140,CS1252,18,100,High
141,CS1253,17,105,High
142,CS1254,21,105,Medium
143,CS1255,29,105,Medium
144,CS1256,19,100,High
145,CS1257,15,104,High
146,CS1258,22,95,High
147,CS1259,22,103,Medium
148,CS1260,26,105,Medium
149,CS1261,26,104,Medium
150,CS1262,16,100,High
151,CS1263,14,104,High
152,CS1264,12,104,High
153,CS1265,14,105,High
154,CS1266,15,100,High
155,CS1267,26,104,Medium
156,CS1268,27,103,Medium
157,CS1269,19,104,High
158,CS1270,27,104,Medium
159,CS1271,25,102,Medium
160,CS1272,19,94,High
161,CS1273,25,101,Medium
162,CS1274,20,103,Medium
163,CS1275,18,104,High
164,CS1276,21,104,Medium
165,CS1277,17,101,High
166,CS1278,22,103,Medium
167,CS1279,21,102,Medium
168,CS1280,21,104,Medium
169,CS1281,23,104,Medium
170,CS1282,15,101,High
171,CS1283,22,105,Medium
172,CS1284,24,104,Medium
173,CS1285,24,104,Medium
174,CS1286,21,105,Medium
175,CS1287,20,104,Medium
176,CS1288,17,92,High
177,CS1289,19,102,High
178,CS1290,20,105,Medium
179,CS1291,15,97,High
180,CS1292,18,98,High
181,CS1293,21,105,Medium
182,CS1294,30,105,Medium
183,CS1295,22,101,Medium
184,CS1296,21,105,Medium
185,CS1297,12,105,High
186,CS1298,21,102,Medium
187,CS1299,21,105,Medium
188,CS1300,18,99,High
189,CS1301,19,97,High
190,CS1302,19,102,High
191,CS1303,22,104,Medium
192,CS1304,15,95,High
193,CS1305,16,101,High
194,CS1306,15,100,High
195,CS1307,18,101,High
196,CS1308,21,104,Medium
197,CS1309,12,105,High
198,CS1310,15,102,High
199,CS1311,18,98,High
200,CS1312,16,105,High
201,CS1313,29,103,Medium
202,CS1314,13,98,High
203,CS1315,15,105,High
204,CS1316,26,104,Medium
205,CS1317,16,101,High
206,CS1318,22,104,Medium
207,CS1319,18,102,High
208,CS1320,18,104,High
209,CS1321,21,104,Medium
210,CS1322,26,105,Medium
211,CS1323,23,105,Medium
212,CS1324,24,101,Medium
213,CS1325,18,102,High
214,CS1326,27,102,Medium
215,CS1327,23,103,Medium
216,CS1328,15,100,High
217,CS1329,17,104,High
218,CS1330,23,103,Medium
219,CS1331,15,105,High
220,CS1332,29,105,Medium
221,CS1333,8,100,High
222,CS1334,25,105,Medium
223,CS1335,17,95,High
224,CS1336,24,101,Medium
225,CS1337,22,105,Medium
226,CS1338,18,105,High
227,CS1339,23,105,Medium
228,CS1340,20,102,High
229,CS1341,13,103,High
230,CS1342,16,105,High
231,CS1343,21,104,Medium
232,CS1344,25,100,Medium
233,CS1345,18,100,High
234,CS1346,15,105,High
235,CS1347,30,104,Medium
236,CS1348,22,105,Medium
237,CS1349,16,105,High
238,CS1350,27,98,Medium
239,CS1351,21,99,High
240,CS1352,20,102,High
241,CS1353,19,103,High
242,CS1354,16,105,High
243,CS1355,23,105,Medium
244,CS1356,24,101,Medium
245,CS1357,26,103,Medium
246,CS1358,19,105,High
247,CS1359,16,92,High
248,CS1360,18,104,High
249,CS1361,19,103,High
250,CS1362,23,102,Medium
251,CS1363,24,105,Medium
252,CS1364,27,105,Medium
253,CS1365,19,99,High
254,CS1366,22,103,Medium
255,CS1367,29,103,Medium
256,CS1368,15,104,High
257,CS1369,25,99,Medium
258,CS1370,26,105,Medium
259,CS1371,22,105,Medium
260,CS1372,19,100,High
261,CS1373,30,101,Medium
262,CS1374,19,98,High
263,CS1375,17,100,High
264,CS1376,25,101,Medium
265,CS1377,18,103,High
266,CS1378,25,103,Medium
267,CS1379,15,105,High
268,CS1380,26,103,Medium
269,CS1381,22,95,High
270,CS1382,25,101,Medium
271,CS1383,25,105,Medium
272,CS1384,17,92,High
273,CS1385,22,104,Medium
274,CS1386,14,98,High
275,CS1387,18,105,High
276,CS1388,19,103,High
277,CS1389,18,96,High
278,CS1390,19,99,High
279,CS1391,25,103,Medium
280,CS1392,17,102,High
281,CS1393,19,105,High
282,CS1394,28,104,Medium
283,CS1395,22,104,Medium
284,CS1396,25,105,Medium
285,CS1397,30,104,Medium
286,CS1398,20,101,High
287,CS1399,26,104,Medium
288,CS1400,18,104,High
289,CS1401,30,103,Medium
290,CS1402,22,103,Medium
291,CS1403,22,101,Medium
292,CS1404,28,104,Medium
293,CS1405,26,105,Medium
294,CS1406,27,103,Medium
295,CS1407,28,100,Medium
296,CS1408,17,103,High
297,CS1409,24,96,Medium
298,CS1410,15,104,High
299,CS1411,17,104,High
300,CS1412,22,100,Medium
301,CS1413,19,99,High
302,CS1414,20,105,Medium
303,CS1415,27,105,Medium
304,CS1416,20,105,Medium
305,CS1417,15,94,High
306,CS1418,14,104,High
307,CS1419,27,105,Medium
308,CS1420,25,101,Medium
309,CS1421,27,102,Medium
310,CS1422,15,95,High
311,CS1423,20,95,High
312,CS1424,24,104,Medium
313,CS1425,23,105,Medium
314,CS1426,21,104,Medium
315,CS1427,15,91,High
316,CS1428,25,105,Medium
317,CS1429,18,105,High
318,CS1430,21,99,High
319,CS1431,18,96,High
320,CS1432,19,102,High
321,CS1433,20,105,Medium
322,CS1434,27,104,Medium
323,CS1435,25,105,Medium
324,CS1436,14,105,High
325,CS1437,12,104,High
326,CS1438,20,102,High
327,CS1439,16,105,High
328,CS1440,22,99,Medium
329,CS1441,20,100,High
330,CS1442,20,96,High
331,CS1443,24,103,Medium
332,CS1444,23,104,Medium
333,CS1445,23,104,Medium
334,CS1446,15,100,High
335,CS1447,14,104,High
336,CS1448,16,105,High
337,CS1449,20,97,High
338,CS1450,20,85,Low
339,CS1451,22,104,Medium
340,CS1452,15,102,High
341,CS1453,22,102,Medium
342,CS1454,17,97,High
343,CS1455,18,105,High
344,CS1456,20,102,High
345,CS1457,15,92,High
346,CS1458,20,105,Medium
347,CS1459,24,104,Medium
348,CS1460,18,103,High
349,CS1461,23,99,Medium
350,CS1462,24,103,Medium
351,CS1463,27,104,Medium
352,CS1464,21,105,Medium
353,CS1465,22,103,Medium
354,CS1466,17,99,High
355,CS1467,18,99,High
356,CS1468,21,102,Medium
357,CS1469,19,100,High
358,CS1470,22,105,Medium
359,CS1471,20,87,Low
360,CS1472,19,102,High
361,CS1473,25,104,Medium
362,CS1474,21,104,Medium
363,CS1475,18,105,High
364,CS1476,20,98,High
365,CS1477,18,98,High
366,CS1478,19,104,High
367,CS1479,20,105,Medium
368,CS1480,17,102,High
369,CS1481,13,93,High
370,CS1482,12,103,High
371,CS1483,24,101,Medium
372,CS1484,16,103,High
373,CS1485,25,105,Medium
374,CS1486,19,103,High
375,CS1487,10,90,High
376,CS1488,23,103,Medium
377,CS1489,15,96,High
378,CS1490,25,99,Medium
379,CS1491,17,105,High
380,CS1492,19,101,High
381,CS1493,21,103,Medium
382,CS1494,21,101,Medium
383,CS1495,17,105,High
384,CS1496,18,102,High
385,CS1497,20,105,Medium
386,CS1498,22,102,Medium
387,CS1499,26,105,Medium
388,CS1500,15,96,High
389,CS1501,26,102,Medium
390,CS1502,22,105,Medium
391,CS1503,27,104,Medium
392,CS1504,13,99,High
393,CS1505,25,104,Medium
394,CS1506,18,101,High
395,CS1507,21,99,High
396,CS1508,28,103,Medium
397,CS1509,20,105,Medium
398,CS1510,26,103,Medium
399,CS1511,18,101,High
400,CS1512,20,95,High
401,CS1513,22,96,Medium
402,CS1514,16,104,High
403,CS1515,22,105,Medium
404,CS1516,18,100,High
405,CS1517,18,98,High
406,CS1518,19,100,High
407,CS1519,15,98,High
408,CS1520,18,105,High
409,CS1521,9,98,High
410,CS1522,14,96,High
411,CS1523,15,100,High
412,CS1524,17,97,High
413,CS1525,17,103,High
414,CS1526,19,102,High
415,CS1527,19,104,High
416,CS1528,24,103,Medium
417,CS1529,25,101,Medium
418,CS1530,10,91,High
419,CS1531,25,104,Medium
420,CS1532,17,97,High
421,CS1533,23,97,Medium
422,CS1534,20,104,Medium
423,CS1535,24,105,Medium
424,CS1536,12,105,High
425,CS1537,20,99,High
426,CS1538,19,102,High
427,CS1539,20,103,Medium
428,CS1540,19,96,High
429,CS1541,30,105,Medium
430,CS1542,27,105,Medium
431,CS1543,12,103,High
432,CS1544,19,101,High
433,CS1545,28,105,Medium
434,CS1546,18,104,High
435,CS1547,22,104,Medium
436,CS1548,23,105,Medium
437,CS1549,20,105,Medium
438,CS1550,22,105,Medium
439,CS1551,18,105,High
440,CS1552,22,105,Medium
441,CS1553,20,105,Medium
442,CS1554,17,104,High
443,CS1555,23,104,Medium
444,CS1556,13,104,High
445,CS1557,30,104,Medium
446,CS1558,23,99,Medium
447,CS1559,20,103,Medium
448,CS1560,18,104,High
449,CS1561,15,103,High
450,CS1562,12,83,Low
451,CS1563,17,105,High
452,CS1564,16,103,High
453,CS1565,17,102,High
454,CS1566,21,97,High
455,CS1567,19,105,High
456,CS1568,20,104,Medium
457,CS1569,15,104,High
458,CS1570,25,99,Medium
459,CS1571,20,105,Medium
460,CS1572,15,100,High
461,CS1573,19,105,High
462,CS1574,18,98,High
463,CS1575,26,101,Medium
464,CS1576,16,103,High
465,CS1577,21,105,Medium
466,CS1578,16,101,High
467,CS1579,20,105,Medium
468,CS1580,33,102,Medium
469,CS1581,23,99,Medium
470,CS1582,27,105,Medium
471,CS1583,25,105,Medium
472,CS1584,21,105,Medium
